iter	Passed	Remaining
148	58615	334774
149	59046	334598
150	59563	334898
151	60061	335081
152	60514	335005
153	61099	335649
154	61490	335224
155	61958	335210
156	62546	335840
157	62657	333909
158	62940	332911
159	63404	332872
160	63831	332639
161	64293	332579
162	64789	332693
163	65176	332241
164	65486	331401
165	66017	331677
166	66459	331500
167	67105	332332
168	67440	331614
169	68024	332119
170	68507	332122
171	69053	332421
172	69733	333348
173	70080	332683
174	70577	332720
175	71085	332808
176	71429	332126
177	71478	330084
178	71601	328407
179	72103	328471
180	72562	328334
181	72901	327657
182	73238	326972
183	73477	325857
184	73876	325456
185	74224	324830
186	74524	324002
187	74822	323168
188	75176	322584
189	75483	321799
190	75822	321153
191	76457	321757
192	76803	321142
193	77167	320602
194	77497	319926
195	77876	319453
196	78305	319185
197	78818	319256
198	79131	318515
199	79527	318109
200	80010	318050
201	80345	317405
202	80775	317133
203	81436	317762
204	81771	317114
205	82114	316501
206	82454	315875
207	82847	315458
208	83145	314680
209	83566	314370
210	83981	314034
211	84035	312356
212	84399	311841
213	84887	311782
214	85332	311562
215	85717	311121
216	85837	309728
217	86187	309169
218	86436	308252
219	86672	307292
220	86984	306611
221	87450	306471
222	87865	306149
223	88307	305922
224	88599	305174
225	89092	305120
226	89495	304757
227	90016	304791
228	90463	304573
229	91055	304839
230	91401	304276
231	91953	304397
232	92503	304508
233	92787	303741
234	93201	303400
235	93485	302639
236	93977	302552
237	94282	301862
238	94970	302395
239	95347	301932
240	95722	301465
241	96250	301477
242	96558	300800
243	96675	299535
244	96929	298700
245	97406	298555
246	97686	297805
247	98140	297587
248	98408	296806
249	98971	296914
250	99428	296699
251	99888	296495
252	100174	295771
253	100473	295092
254	100979	295018
255	101479	294924
256	101953	294752
257	102353	294364
258	102659	293708
259	103217	293771
260	103569	293248
261	103768	292293
262	103874	291086
263	104336	290878
264	104857	290831
265	105216	290335
266	105667	290091
267	106380	290560
268	106899	290495
269	107190	289811
270	107314	288680
271	107462	287618
272	107627	286611
273	108068	286343
274	108470	285968
275	109252	286588
276	109851	286724
277	110492	286962
278	110901	286595
279	111349	286326
280	111625	285617
281	112113	285452
282	112563	285187
283	113235	285482
284	113566	284912
285	114200	285101
286	114660	284852
287	115238	284894
288	115839	284988
289	116276	284676
290	116581	284042
291	117147	284041
292	117557	283663
293	118064	283515
294	118652	283559
295	119210	283528
296	119633	283173
297	120140	283015
298	120621	282794
299	121269	282963
300	121843	282952
301	122168	282364
302	122733	282327
303	122859	281283
304	123230	280804
305	123674	280490
306	124209	280382
307	124578	279896
308	125034	279606
309	125392	279098
310	125603	278267
311	125974	277789
312	126348	277321
313	126664	276724
314	126843	275834
315	127455	275884
316	127946	275670
317	128468	275521
318	128966	275317
319	129488	275163
320	129735	274425
321	129872	273458
322	130142	272775
323	130449	272173
324	130534	271111
325	131096	271041
326	131546	270735
327	131951	270339
328	132382	269995
329	132603	269225
330	132999	268811
331	133479	268567
332	133896	268194
333	134233	267663
334	134604	267199
335	135099	266982
336	135448	266474
337	135917	266204
338	136285	265737
339	136847	265645
340	137254	265251
341	137789	265103
342	138157	264633
343	138439	264000
344	138730	263387
345	138954	262648
346	139473	262467
347	140017	262330
348	140058	261254
349	140613	261139
350	140722	260196
351	141251	260030
352	141615	259561
353	141967	259071
354	142434	258788
355	142927	258555
356	143507	258473
357	144070	258360
358	144548	258093
359	145017	257808
360	145521	257585
361	145822	257002
362	145976	256162
363	146488	255951
364	147094	255904
365	147326	255204
366	147958	255198
367	148608	255219
368	149072	254918
369	149778	255027
370	150488	255140
371	151149	255166
372	151985	255481
373	152248	254832
374	152762	254604
375	153378	254542
376	153906	254333
377	154428	254112
378	154802	253646
379	155276	253345
380	156378	254064
381	156743	253579
382	156919	252791
383	157754	253064
384	158504	253195
385	158965	252861
386	159426	252527
387	160097	252525
388	160985	252858
389	161475	252563
390	162234	252688
391	162930	252708
392	163072	251869
393	163501	251476
394	163777	250848
395	164149	250369
396	164426	249746
397	165003	249578
398	165571	249394
399	166218	249327
400	166426	248602
401	166884	248250
402	167299	247836
403	167657	247335
404	168081	246934
405	168338	246287
406	168761	245886
407	168980	245187
408	169021	244234
409	169405	243778
410	169752	243269
411	170052	242696
412	170369	242147
413	170615	241499
414	171025	241084
415	171562	240847
416	171920	240359
417	172244	239823
418	172500	239194
419	172850	238698
420	173171	238162
421	173488	237621
422	173819	237101
423	174094	236506
424	174477	236057
425	174794	235521
426	174923	234732
427	175273	234244
428	175687	233840
429	175968	233260
430	176494	233005
431	176892	232581
432	177075	231874
433	177347	231286
434	177721	230833
435	178144	230444
436	178472	229931
437	178804	229425
438	179229	229038
439	179510	228467
440	179847	227969
441	180177	227464
442	180713	227217
443	180841	226459
444	181187	225975
445	181570	225538
446	181993	225150
447	182246	224553
448	182413	223853
449	182589	223164
450	182728	222434
451	183104	221994
452	183332	221374
453	183651	220866
454	183881	220253
455	184163	219703
456	184379	219076
457	184607	218465
458	184841	217863
459	185143	217341
460	185445	216822
461	185655	216196
462	185885	215594
463	186105	214983
464	186495	214570
465	186836	214099
466	187269	213735
467	187702	213370
468	188040	212899
469	188378	212426
470	188493	211704
471	188817	211220
472	188932	210501
473	189155	209906
474	189398	209335
475	189750	208884
476	190131	208467
477	190417	207945
478	190756	207482
479	191215	207149
480	191441	206565
481	191911	206244
482	192564	206119
483	192723	205465
484	193000	204938
485	193077	204201
486	193351	203673
487	193729	203257
488	194022	202751
489	194253	202182
490	194622	201757
491	195007	201349
492	195329	200876
493	196017	200779
494	196285	200250
495	196545	199715
496	196852	199229
497	196937	198518
498	197320	198111
499	197453	197453
500	197749	196960
501	198047	196469
502	198445	196078
503	198709	195555
504	198935	194996
505	199299	194572
506	199638	194125
507	199907	193611
508	200135	193058
509	200431	192571
510	200634	191996
511	200955	191535
512	201166	190970
513	201419	190447
514	201680	189931
515	202022	189493
516	202245	188944
517	202488	188415
518	202855	188002
519	203422	187774
520	203949	187508
521	204285	187065
522	204559	186567
523	204913	186142
524	205245	185698
525	205563	185241
526	205974	184869
527	206289	184410
528	206612	183959
529	206879	183459
530	207306	183101
531	207592	182619
532	207947	182197
533	208385	181849
534	208675	181372
535	208927	180862
536	209340	180492
537	209532	179932
538	209769	179412
539	210095	178969
540	210483	178579
541	210877	178195
542	211218	177766
543	211595	177366
544	211951	176950
545	212174	176423
546	212294	175812
547	212501	175274
548	212714	174743
549	212817	174123
550	213003	173573
551	213364	173165
552	213567	172630
553	213799	172119
554	214043	171620
555	214280	171116
556	214605	170682
557	214822	170164
558	215079	169678
559	215286	169153
560	215383	168544
561	215735	168135
562	216021	167675
563	216300	167210
564	216533	166711
565	216843	166272
566	217078	165776
567	217333	165295
568	217616	164837
569	217911	164389
570	218188	163928
571	218600	163568
572	218902	163126
573	219289	162748
574	219327	162111
575	219604	161653
576	219925	161228
577	220214	160779
578	220639	160430
579	220905	159966
580	221258	159565
581	221687	159218
582	222026	158807
583	222238	158307
584	222573	157894
585	223045	157578
586	223333	157132
587	223608	156678
588	224006	156309
589	224430	155959
590	224944	155672
591	225469	155391
592	225792	154970
593	226068	154517
594	226462	154146
595	226860	153777
596	227323	153453
597	227633	153024
598	228121	152715
599	228514	152342
600	228768	151877
601	228968	151377
602	229026	150785
603	229272	150317
604	229628	149922
605	229922	149487
606	230219	149054
607	230320	148496
608	230535	148012
609	230936	147648
610	231138	147157
611	231401	146705
612	231628	146231
613	231997	145848
614	232322	145437
615	232655	145031
616	232807	144514
617	233030	144041
618	233311	143605
619	233583	143163
620	233894	142746
621	234285	142379
622	234699	142025
623	235137	141685
624	235638	141383
625	235892	140932
626	236136	140476
627	236553	140124
628	236983	139779
629	237247	139335
630	237578	138932
631	237982	138572
632	238349	138190
633	238663	137777
634	239029	137394
635	239492	137068
636	239874	136694
637	240063	136211
638	240395	135810
639	240853	135479
640	241184	135078
641	241537	134689
642	241813	134257
643	242155	133862
644	242431	133431
645	242741	133019
646	242996	132577
647	243404	132219
648	243686	131793
649	244027	131399
650	244235	130934
651	244653	130581
652	244856	130115
653	245225	129736
654	245340	129225
655	245729	128858
656	245952	128404
657	246154	127940
658	246430	127515
659	246529	127000
660	246879	126614
661	247176	126202
662	247369	125736
663	247631	125307
664	247826	124844
665	248116	124430
666	248355	123991
667	248631	123571
668	248864	123130
669	249068	122675
670	249391	122279
671	249608	121832
672	250102	121520
673	250429	121127
674	250681	120698
675	250946	120275
676	251207	119852
677	251459	119424
678	251816	119047
679	252098	118634
680	252439	118250
681	252844	117895
682	253976	117877
683	254356	117509
684	254921	117226
685	255305	116859
686	255417	116369
687	255723	115967
688	255885	115501
689	256448	115215
690	256728	114803
691	256894	114340
692	257037	113868
693	257440	113511
694	257805	113137
695	258023	112700
696	258334	112303
697	258477	111834
698	258810	111447
699	258895	110955
700	259202	110558
701	259288	110068
702	259607	109677
703	259694	109189
704	259999	108794
705	260303	108398
706	260572	107988
707	260816	107568
708	260919	107091
709	261303	106729
710	261511	106296
711	261730	105868
712	262054	105483
713	262311	105071
714	262617	104679
715	262802	104240
716	263054	103827
717	263431	103464
718	264041	103192
719	264481	102854
720	265027	102555
721	265277	102142
722	265849	101853
723	266231	101491
724	266558	101108
725	266953	100751
726	267310	100379
727	267398	99906
728	267850	99571
729	268119	99167
730	268521	98812
731	268869	98438
732	269330	98105
733	269681	97732
734	270119	97390
735	270507	97029
736	270925	96680
737	271454	96369
738	271744	95974
739	272287	95668
740	272657	95301
741	273310	95032
742	273674	94662
743	274222	94356
744	274742	94039
745	275107	93669
746	275544	93323
747	275957	92969
748	276360	92612
749	276677	92225
750	276977	91833
751	277357	91469
752	277596	91057
753	277691	90599
754	277947	90194
755	278281	89815
756	278674	89455
757	278870	89032
758	279114	88625
759	279346	88214
760	279695	87841
761	280081	87479
762	280317	87071
763	280600	86677
764	280907	86291
765	281507	85995
766	281890	85633
767	282184	85243
768	282655	84906
769	282899	84502
770	283272	84136
771	283778	83810
772	284179	83452
773	284743	83142
774	285131	82780
775	285287	82350
776	285377	81903
777	285696	81522
778	285990	81134
779	286102	80695
780	286652	80380
781	286732	79933
782	287000	79538
783	287277	79147
784	287702	78797
785	287917	78389
786	288166	77991
787	288476	77610
788	288710	77208
789	289352	76916
790	289622	76524
791	289933	76144
792	290249	75765
793	290724	75427
794	291083	75059
795	291547	74718
796	292126	74406
797	292513	74044
798	292675	73626
799	293062	73265
800	293414	72895
801	293746	72521
802	294215	72179
803	294746	71853
804	295149	71495
805	295607	71151
806	296162	70829
807	296509	70457
808	297484	70234
809	298070	69917
810	298526	69570
811	298745	69167
812	298969	68766
813	299318	68394
814	299630	68014
815	299976	67641
816	300386	67283
817	300541	66868
818	300851	66488
819	301430	66167
820	301912	65825
821	302372	65477
822	302956	65155
823	303576	64841
824	304443	64578
825	305298	64312
826	306225	64059
827	306668	63704
828	307225	63372
829	308324	63150
830	309245	62891
831	309724	62540
832	309970	62143
833	310581	61818
834	310927	61440
835	311224	61053
836	311843	60729
837	312197	60353
838	312976	60058
839	313601	59733
840	314075	59379
841	314555	59025
842	314759	58620
843	315234	58266
844	315566	57884
845	316134	57547
846	316664	57201
847	317178	56852
848	317745	56513
849	318299	56170
850	318433	55753
851	319497	55499
852	319987	55144
853	320302	54758
854	320600	54370
855	321012	54002
856	321419	53632
857	321708	53243
858	322112	52872
859	322389	52481
860	322664	52091
861	323041	51716
862	323495	51354
863	323979	50996
864	324136	50587
865	324415	50198
866	324700	49809
867	325181	49451
868	325553	49076
869	325868	48692
870	326341	48332
871	326791	47969
872	327211	47601
873	327736	47248
874	328019	46859
875	328450	46492
876	328936	46133
877	329355	45764
878	329774	45395
879	330141	45019
880	330510	44643
881	330869	44265
882	331340	43903
883	331737	43531
884	332066	43149
885	332382	42767
886	332539	42364
887	333075	42009
888	333341	41620
889	333725	41246
890	334088	40870
891	334531	40503
892	334878	40125
893	335230	39747
894	335724	39386
895	336005	39000
896	336367	38624
897	336666	38240
898	337146	37877
899	337471	37496
900	337826	37119
901	338123	36736
902	338575	36369
903	338913	35990
904	339254	35612
905	339720	35246
906	340125	34875
907	340509	34501
908	340628	34100
909	341010	33726
910	341286	33341
911	341659	32967
912	342208	32609
913	342397	32216
914	342800	31844
915	343373	31488
916	343908	31127
917	344330	30757
918	344943	30403
919	345393	30034
920	345738	29656
921	345920	29264
922	346364	28895
923	346795	28524
924	347072	28140
925	347447	27765
926	347886	27395
927	348177	27013
928	348600	26642
929	349048	26272
930	349361	25892
931	349762	25519
932	350213	25149
933	350567	24772
934	350812	24388
935	351217	24014
936	351614	23641
937	351916	23261
938	352198	22879
939	352497	22499
940	352852	22123
941	353271	21751
942	353498	21367
943	354043	21002
944	354511	20632
945	354710	20247
946	354968	19866
947	355253	19486
948	355677	19114
949	356014	18737
950	356305	18358
951	356642	17981
952	356980	17605
953	357261	17226
954	357639	16852
955	358019	16477
956	358520	16109
957	358748	15727
958	358945	15345
959	359193	14966
960	359691	14597
961	359967	14219
962	360255	13841
963	360348	13456
964	360652	13080
965	361096	12709
966	361341	12331
967	361715	11957
968	362042	11582
969	362472	11210
970	363044	10842
971	363354	10466
972	363694	10092
973	364097	9719
974	364335	9341
975	364685	8967
976	364978	8592
977	365390	8219
978	365650	7843
979	365935	7468
980	366213	7092
981	366636	6720
982	366985	6346
983	367391	5973
984	367917	5602
985	368152	5227
986	368421	4852
987	368686	4477
988	368954	4103
989	369338	3730
990	369573	3356
991	369831	2982
992	370111	2609
993	370496	2236
994	370759	1863
995	370970	1489
996	371271	1117
997	371736	744
998	372065	372
999	372317	0
